"ilitotal","age_0_4","age_5_24","age_25_64","age_65","age_25_49","age_50_64"
100561.68366953,16637.3317748568,34130.0333978642,39346.0792498125,9599.70963760876,Inf,Inf
96534.0556771573,15912.3364309752,32646.9370008935,38258.3309445239,8923.27330827076,Inf,Inf
87492.1331678377,15431.6881344849,29915.6281943089,33062.2009699374,8247.40026686314,Inf,Inf
75982.9051832506,14294.7723123617,25199.5582652627,29006.0286858024,7165.3645106072,Inf,Inf
70172.4155869603,13400.933184571,23267.3869773803,26476.5431361107,6638.62996057496,Inf,Inf
65968.7507470935,13040.2394313763,21233.6887181632,24944.1769390676,6084.93111232068,Inf,Inf
65899.627097564,13225.2719895655,19778.4983421846,26224.2933983617,6203.09553520628,Inf,Inf
59797.017153209,12591.7903340181,18018.4747228013,23255.7325174214,5937.0854374467,Inf,Inf
53257.0442177601,11474.8003716417,17012.3232918963,19259.4808838242,5226.29585350292,Inf,Inf
52143.8441703257,10779.3013970513,17018.3083008024,19241.319822686,4889.41211421366,Inf,Inf
51133.8757380617,10959.5567598258,16417.5932522453,18882.7197549934,4887.25271742544,Inf,Inf
46940.1485943846,10009.8100421433,15013.3112326602,17251.4844102496,4872.94445972747,Inf,Inf
43509.7699066929,9203.23054405219,13361.4878825763,16474.0418848063,4419.37602462297,Inf,Inf
45573.1675217039,9257.83713690328,13843.0485312963,17619.7254134795,4710.72391151114,Inf,Inf
40230.612847622,8786.09668200751,11831.8838966916,14967.7718091987,4504.44211230833,Inf,Inf
39380.1978061457,7832.15245315431,10894.5983053792,15785.6955044772,4692.3760036126,Inf,Inf
36172.3609369243,6945.04931005455,9636.96826930258,15267.9745946445,4502.9736504719,Inf,Inf
33918.3089964184,6389.4679176569,8475.44780016845,14676.7136937266,4370.99830746972,Inf,Inf
34284.976763031,5991.85842188358,8865.57127530626,14958.6202975236,4525.81686038115,Inf,Inf
31052.5730398808,5574.81442290047,7774.20306193906,13389.8564084188,4591.08968287536,Inf,Inf
34969.7580907847,6010.46850765927,8921.73160795343,15482.1471822974,4503.70204861912,Inf,Inf
33603.0728715436,5909.93693262148,8432.82901684916,14321.1695566793,4550.87769110842,Inf,Inf
35702.422360831,6027.83393723773,9057.9656962412,15820.8346826077,4650.03074723034,Inf,Inf
38213.704286051,6454.56323407076,10409.6012523576,15784.333304113,5102.12876145761,Inf,Inf
37799.1013442722,6731.21640983219,10330.346935544,16130.5583127409,4528.76799341154,Inf,Inf
38926.5662573915,6921.01433078883,11591.6798368031,15870.6719037141,4711.89424666562,Inf,Inf
45672.0628784231,8268.67414955082,15104.749097983,17213.2404089959,5033.06072893811,Inf,Inf
52410.5845335009,9897.23261712219,17898.5833000604,19317.3806684521,5479.34270382738,Inf,Inf
56688.5992445661,11320.0868558195,18847.7386617361,20938.033646146,5803.84645306117,Inf,Inf
49879.9746310144,9910.330732305,17214.2874144036,18270.5930055291,5047.23948153582,Inf,Inf
53867.5896855421,10701.9525644337,19208.1985841978,18854.5731854488,5699.7868883489,Inf,Inf
49782.4261441028,10158.29593296,17210.8328754569,18042.6427725675,4981.44133068376,Inf,Inf
51672.739786798,10840.3806314765,18585.1097747761,17650.2336368965,5001.70217588293,Inf,Inf
54472.6421856602,11475.1307959033,19819.8773402494,18489.5335657167,4938.56149836084,Inf,Inf
57020.374788051,11955.1712001467,20835.7241096006,19152.1011856144,5208.29341578246,Inf,Inf
62003.8597774657,13414.3038191804,22856.5302601481,20467.2881205751,5328.27855434228,Inf,Inf
66398.1349438547,14574.6789676655,23446.5968461053,22701.3682463542,5660.51341741925,Inf,Inf
69411.779487707,15686.3391520211,24419.0415932493,23363.1592366511,5892.48297936351,Inf,Inf
76677.892857121,17405.746189596,27229.8460837434,25709.1790240339,6372.5421198579,Inf,Inf
79501.6196594483,18910.8856377921,27555.8120340785,26385.9418717836,6451.50749165493,Inf,Inf
78410.4547791284,21087.1564642154,23545.3136024136,26521.9736382159,7319.20200661834,Inf,Inf
93487.0194657851,20486.3423877339,27088.538558784,36404.5894084716,10364.2290739358,Inf,Inf
105697.141187508,21796.3131095798,35089.6256470975,37935.4410913817,10732.1070442659,Inf,Inf
143601.282975161,28047.7328184886,51042.1291510628,49048.5378440132,11980.7850578579,Inf,Inf
185796.854416503,37354.8772484712,57821.1738950641,66438.2543964037,17480.9600462425,Inf,Inf
171126.149449057,33548.0908109625,40669.0101885783,70524.7462927165,20511.655183695,Inf,Inf
141280.751365757,23796.9417361018,36708.3866790245,63923.9146210398,17026.3783872189,Inf,Inf
156517.229636932,25524.9745297373,51444.2759435778,63467.4720195198,17324.9960772861,Inf,Inf
175825.122456795,29326.5868751397,58464.9078622001,71184.651870007,17293.833157818,Inf,Inf
204741.603970194,30728.786400992,68527.9154587319,82387.2997581387,21964.5572187899,Inf,Inf
